M,ef_construction,build_time_s,index_bytes,recall_at_10
8,100,19.460045100000116,495584,1.0
8,200,33.433373500000016,523656,1.0
8,400,57.39654020000012,538628,1.0
16,100,16.225363300000026,624088,1.0
16,200,29.894977300000164,697324,1.0
16,400,53.521350499999926,743004,1.0
32,100,15.62321350000002,657984,1.0
32,200,28.954075599999896,757956,1.0
32,400,52.282245900000134,829472,1.0
