query_idx,recall,underfill,latency_ms,dist_ops,n_returned,strategy,target_selectivity,true_selectivity,sel_hat,metadata_variant,planner_reason
71,1.0,False,0.034199998481199145,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
72,1.0,False,0.032500000088475645,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
73,1.0,False,0.024200009647756815,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
74,1.0,False,0.027400004910305142,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
75,1.0,False,0.02370000584051013,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
76,1.0,False,0.025300003471784294,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
77,1.0,False,0.026399997295811772,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
78,1.0,False,0.02950000634882599,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
79,1.0,False,0.035299992305226624,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
80,1.0,False,0.02819999644998461,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
81,1.0,False,0.026699999580159783,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
82,1.0,False,0.025399989681318402,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
83,1.0,False,0.024199995095841587,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
84,1.0,False,0.02570000651758164,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
85,1.0,False,0.025200002710334957,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
86,1.0,False,0.024100008886307478,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
87,1.0,False,0.02819999644998461,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
88,1.0,False,0.02379999205004424,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
89,1.0,False,0.023499989765696228,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
90,1.0,False,0.029000002541579306,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
91,1.0,False,0.02370000584051013,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
92,1.0,False,0.028399997972883284,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
93,1.0,False,0.03399999695830047,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
94,1.0,False,0.03239999932702631,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
95,1.0,False,0.029799994081258774,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
96,1.0,False,0.02570000651758164,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
97,1.0,False,0.026900001103058457,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
98,1.0,False,0.023999993572942913,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
99,1.0,False,0.02819999644998461,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
100,1.0,False,0.02649999805726111,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
101,1.0,False,0.030700000934302807,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
102,1.0,False,0.025000001187436283,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
103,1.0,False,0.03989999822806567,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
104,1.0,False,0.028400012524798512,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
105,1.0,False,0.02469999890308827,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
106,1.0,False,0.024299995857290924,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
107,1.0,False,0.0281000102404505,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
108,1.0,False,0.023900007363408804,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
109,1.0,False,0.02370000584051013,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
110,1.0,False,0.024299995857290924,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
111,1.0,False,0.030800001695752144,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
112,1.0,False,0.02610000956337899,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
113,1.0,False,0.024500011932104826,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
114,1.0,False,0.024199995095841587,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
115,1.0,False,0.02750000567175448,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
116,1.0,False,0.03090000245720148,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
117,1.0,False,0.03409999771974981,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
118,1.0,False,0.035200006095692515,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
119,1.0,False,0.024999986635521054,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
120,1.0,False,0.025500004994682968,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
121,1.0,False,0.027000001864507794,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
122,1.0,False,0.02570000651758164,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
123,1.0,False,0.0236999912885949,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
124,1.0,False,0.02339998900424689,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
125,1.0,False,0.023499989765696228,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
126,1.0,False,0.02340000355616212,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
127,1.0,False,0.023600005079060793,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
128,1.0,False,0.034199998481199145,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
129,1.0,False,0.031100003980100155,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
130,1.0,False,0.025200002710334957,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
131,1.0,False,0.023600005079060793,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
132,1.0,False,0.027300004148855805,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
133,1.0,False,0.03339999238960445,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
134,1.0,False,0.030800001695752144,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
135,1.0,False,0.025999994250014424,100,10,pre_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
